Country or Area,Year,Reference Date,Area,Sex,Age,Marital status,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,1-Jul-12,Total,Male,Total,Total,Estimate - de jure,"Final figure, complete",2014,123174537,1
United States of America,2012,1-Jul-12,Total,Male,Total,Single (never married),Estimate - de jure,"Final figure, complete",2014,44291637,1
United States of America,2012,1-Jul-12,Total,Male,Total,Married,Estimate - de jure,"Final figure, complete",2014,61355023,1
United States of America,2012,1-Jul-12,Total,Male,Total,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,3129475,1
United States of America,2012,1-Jul-12,Total,Male,Total,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,12097348,1
United States of America,2012,1-Jul-12,Total,Male,Total,Married but separated,Estimate - de jure,"Final figure, complete",2014,2301054,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Total,Estimate - de jure,"Final figure, complete",2014,6432763,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Single (never married),Estimate - de jure,"Final figure, complete",2014,6402279,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Married,Estimate - de jure,"Final figure, complete",2014,20886,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,1104,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1770,1
United States of America,2012,1-Jul-12,Total,Male,15 - 17,Married but separated,Estimate - de jure,"Final figure, complete",2014,6724,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Total,Estimate - de jure,"Final figure, complete",2014,4613289,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Single (never married),Estimate - de jure,"Final figure, complete",2014,4551828,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Married,Estimate - de jure,"Final figure, complete",2014,56365,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,949,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,2670,1
United States of America,2012,1-Jul-12,Total,Male,18 - 19,Married but separated,Estimate - de jure,"Final figure, complete",2014,1477,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Total,Estimate - de jure,"Final figure, complete",2014,11498783,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Single (never married),Estimate - de jure,"Final figure, complete",2014,10470142,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Married,Estimate - de jure,"Final figure, complete",2014,912164,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,4839,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,61662,1
United States of America,2012,1-Jul-12,Total,Male,20 - 24,Married but separated,Estimate - de jure,"Final figure, complete",2014,49976,1
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Total,Estimate - de jure,"Final figure, complete",2014,10760625,1
