"U.S. Population"
"Population: 332,679,431"
"One birth every 9 seconds"
"One death every 12 seconds"
"One international migrant (net) every 130 seconds"
"Net gain of one person every 31 seconds"
"Date: 05/15/2022"

"World Population"
"Population:7,896,043,905",

"Top 10 Most Populous Countries (July 1, 2021)"
"Rank,  Country, Population"

"1,China,1410539758"
"2,India,1389637446"
"3,United States,332838183"
"4,Indonesia,277329163"
"5,Pakistan,242923845"
"6,Nigeria,225082083"
"7,Brazil,217240060"
"8,Bangladesh,165650475"
"9,Russia,142021981"
"10,Mexico,129150971"
