Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,517648631,6641.169423188563,3590996,46.07065759629609,567618,6261708,80.33453817157918,9970,0.1279100439641458,1738,
United States of America,Americas,81417085,24597.11,562313,169.882,141471,991595,299.573,2114,0.639,622
India,South-East Asia,43116254,3124.356,21316,1.545,2841,524190,37.985,188,0.014,9
Brazil,Americas,30617786,14404.342,115285,54.237,23398,664516,312.626,757,0.356,126
France,Europe,28244891,43427.382,232868,358.042,31824,143901,221.252,652,1.002,82
Germany,Europe,25661838,30855.901,406556,488.845,68999,137348,165.148,220,0.265,164
The United Kingdom,Europe,22145161,32621.1,34908,51.421,0,176835,260.488,377,0.555,0
Russian Federation,Europe,18250290,12505.813,33571,23.004,4896,377464,258.653,768,0.526,105
Republic of Korea,Western Pacific,17727086,34576.493,262304,511.621,32451,23606,46.043,400,0.78,52
Italy,Europe,16915301,28361.635,232675,390.123,0,164846,276.395,667,1.118,0
Turkey,Europe,15050227,17844.906,11732,13.911,1778,98878,117.239,59,0.07,8
Spain,Europe,12009064,25371.648,45040,95.156,0,104869,221.558,94,0.199,0
Viet Nam,Western Pacific,10690471,10982.769,23720,24.369,6499,43063,44.24,14,0.014,3
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0
Japan,Western Pacific,8260356,6531.141,260076,205.632,42378,29974,23.699,248,0.196,39
Netherlands,Europe,8065852,46335.273,9474,54.425,1434,22292,128.059,23,0.132,4
Iran (Islamic Republic of),Eastern Mediterranean,7227043,8604.345,2987,3.556,371,141201,168.111,56,0.067,3
Australia,Western Pacific,6442558,25265.048,319601,1253.343,58073,7670,30.079,246,0.965,57
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0
Indonesia,South-East Asia,6049876,2211.829,1890,0.691,0,156438,57.194,81,0.03,0
Poland,Europe,6002863,15814.43,3346,8.815,469,116186,306.09,62,0.163,11
Mexico,Americas,5745652,4456.317,995,0.772,0,324465,251.654,3,0.002,0
Ukraine,Europe,5006460,11447.587,3590,8.209,0,108449,247.975,38,0.087,0
Malaysia,Western Pacific,4470471,13812.245,16358,50.541,3410,35602,109.998,33,0.102,4
Thailand,South-East Asia,4361016,6247.876,52697,75.497,9779,29367,42.073,391,0.56,56
Austria,Europe,4236475,47595.153,29576,332.275,0,19804,222.49,38,0.427,0
Belgium,Europe,4116397,35725.046,21568,187.183,12,31613,274.36,51,0.443,0
Israel,Europe,4103140,47404.778,15770,182.195,2205,10751,124.209,4,0.046,2
Portugal,Europe,4015440,39000.345,95487,927.427,0,22528,218.805,127,1.233,0
Czechia,Europe,3915231,36611.683,3891,36.385,524,40240,376.288,26,0.243,3
South Africa,Africa,3871085,6527.011,52960,89.296,8920,100630,169.672,159,0.268,21
Canada,Americas,3806625,10085.871,27799,73.655,7627,39984,105.94,357,0.946,129
Philippines,Western Pacific,3687567,3365.149,1024,0.934,139,60452,55.166,13,0.012,13
Switzerland,Europe,3631884,41964.694,5624,64.983,0,13217,152.716,3,0.035,0
Chile,Americas,3591097,18785.621,21605,113.019,4575,57680,301.734,83,0.434,13
Peru,Americas,3570801,10829.846,2938,8.911,462,212979,645.942,88,0.267,11
Greece,Europe,3380594,31539.614,31838,297.036,4782,29491,275.139,176,1.642,20
Denmark,Europe,3126491,53694.286,5558,95.453,742,6271,107.698,53,0.91,11
Romania,Europe,2901682,15012.191,4154,21.491,602,65595,339.363,55,0.285,6
Sweden,Europe,2504894,24254.393,1783,17.264,368,18897,182.976,16,0.155,0
Iraq,Eastern Mediterranean,2326033,5782.916,636,1.581,0,25215,62.689,3,0.007,0
