Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,All Ages,385658,3390039
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,Under 1 year,52,19645
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,0-17 years,199,34204
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,1-4 years,25,3539
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,5-14 years,69,5644
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,15-24 years,618,36015
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,18-29 years,1488,63520
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,25-34 years,2626,73883
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,30-39 years,4294,89319
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,35-44 years,6792,104988
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,40-49 years,11336,133464
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,45-54 years,18343,191991
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,50-64 years,56801,557214
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,55-64 years,45593,442016
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,65-74 years,82332,675940
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,75-84 years,106317,823038
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,All Sexes,85 years and over,122891,1013340
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,All Ages,462545,3469592
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,Under 1 year,161,19884
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,0-17 years,595,35645
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,1-4 years,66,3811
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,5-14 years,178,5987
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,15-24 years,1651,38563
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,18-29 years,3911,68019
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,25-34 years,7036,82744
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,30-39 years,11542,104027
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,35-44 years,17433,125562
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,40-49 years,26166,155366
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,45-54 years,39411,216856
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,50-64 years,103010,609709
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,55-64 years,79288,479359
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,65-74 years,111559,725410
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,75-84 years,110630,830346
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,All Sexes,85 years and over,95132,941070
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,All Ages,152858,1164983
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,Under 1 year,74,5582
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,0-17 years,268,10140
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,1-4 years,49,1090
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,5-14 years,87,1740
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,15-24 years,386,10686
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,18-29 years,884,18981
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,25-34 years,1539,23947
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,30-39 years,2354,30356
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,35-44 years,3538,36734
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,40-49 years,5569,45474
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,45-54 years,8923,63693
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,50-64 years,27819,187923
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,55-64 years,22298,149402
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,65-74 years,36277,240448
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,75-84 years,41230,295234
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,All Sexes,85 years and over,38457,336427
