Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,All Ages,209478,1774408
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,Under 1 year,34,10893
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,0-17 years,113,20121
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,1-4 years,14,2031
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,5-14 years,38,3374
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,15-24 years,378,26642
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,18-29 years,936,46517
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,25-34 years,1669,52133
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,30-39 years,2835,60689
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,35-44 years,4501,68878
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,40-49 years,7543,85053
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,45-54 years,12313,120496
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,50-64 years,36815,344374
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,55-64 years,29295,272307
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,65-74 years,50519,393033
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,75-84 years,59502,429448
5/18/2022,1/1/2020,12/31/2020,By Year,2020,,United States,Male,85 years and over,51215,395173
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,All Ages,259777,1842136
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,Under 1 year,81,10884
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,0-17 years,320,20655
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,1-4 years,33,2104
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,5-14 years,99,3498
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,15-24 years,958,28119
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,18-29 years,2359,49521
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,25-34 years,4290,58278
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,30-39 years,7037,70404
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,35-44 years,10672,82058
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,40-49 years,16274,98875
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,45-54 years,24996,136446
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,50-64 years,63389,375838
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,55-64 years,48250,293906
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,65-74 years,65102,419782
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,75-84 years,62151,432850
5/18/2022,1/1/2021,12/31/2021,By Year,2021,,United States,Male,85 years and over,43145,374211
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,All Ages,85118,611674
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,Under 1 year,42,3160
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,0-17 years,133,6014
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,1-4 years,22,623
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,5-14 years,36,1012
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,15-24 years,233,7741
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,18-29 years,535,13673
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,25-34 years,919,16754
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,30-39 years,1414,20408
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,35-44 years,2090,23881
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,40-49 years,3294,28815
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,45-54 years,5439,39703
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,50-64 years,16691,114856
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,55-64 years,13286,90892
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,65-74 years,21275,138838
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,75-84 years,23427,154188
5/18/2022,1/1/2022,5/14/2022,By Year,2022,,United States,Male,85 years and over,18349,134882
