Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,All Ages,554373,4228218
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,Under 1 year,157,24937
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,0-17 years,566,46790
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,1-4 years,69,4758
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,5-14 years,173,7884
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,15-24 years,1569,62502
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,18-29 years,3830,109711
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,25-34 years,6878,127165
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,30-39 years,11286,151501
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,35-44 years,17263,174817
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,40-49 years,27111,212743
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,45-54 years,42748,296645
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,50-64 years,116895,835068
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,55-64 years,90831,657105
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,65-74 years,136896,951653
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,75-84 years,145080,1016486
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Male,85 years and over,112709,904266
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,All Ages,446688,3796396
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,Under 1 year,130,20174
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,0-17 years,496,33199
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,1-4 years,71,3682
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,5-14 years,161,5487
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,15-24 years,1086,22762
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,18-29 years,2453,40809
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,25-34 years,4323,53409
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,30-39 years,6904,72201
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,35-44 years,10500,92467
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,40-49 years,15960,121561
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,45-54 years,23929,175895
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,50-64 years,70735,519778
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,55-64 years,56348,413672
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,65-74 years,93272,690145
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,75-84 years,113097,932132
5/18/2022,1/1/2020,5/14/2022,By Total,,,United States,Female,85 years and over,143771,1386571
